site,NTBG Accession,KPEP.georef,date collectected,reintro or wild,sample#,lat,lon,collector#,Description of founder/Notes
Makaleha,none,POLBIS-KA-KAP-A-0003,1/12/2021,wild founder,30,21.109558,-159.391283,JKD_155,"Once arriving to the flat pu?u at the top of the Makaleha ridge trail, go back down the ridge towards the east. KAP-A-0003 is on the northern slope of the ridge, 10 ft. tall, in deep DicLin. Both KAP-A-0004 and KAP-A-0005 are dead as of Jan. 2022. JKD collected alone. "
Makaleha,none,POLBIS-KA-KAP-A-0006,1/12/2021,wild founder,31,22.109327,-159.390065,JKD_156,"A new find by Natalia, further down the Eastern ridge 300 ft. past KAP-A-0003, this PolBis looks a little hybrid-esque. Flowering a few months later that KAP-A-0001"
HaupuSummit(kipukai),none,POLBIS-KA-KIP-A-0003,1/17/2022,wild founder,19,21.92482,-159.400446,JKD_173,"Kipu Kai Waterhouse side of Haupu summit, third ridge to the east then drop into a steep gulch with 5 PolBis. Collected with SD, JAG, Fortini. "
HaupuSummit(kipukai),none,POLBIS-KA-KIP-A-0006,1/17/2022,wild founder,18,21.92472,-159.40042,JKD_175,"Kipu Kai Waterhouse side of Haupu summit, third ridge to the east then drop into a steep gulch with 5 PolBis in a grove. Collected with SD, JAG, Fortini. "
HaupuSummit(kipukai),none,POLBIS-KA-KIP-A-0004,1/17/2022,wild founder,20,21.924841,-159.400542,JKD_174,"Kipu Kai Waterhouse side of Haupu summit, third ridge to the east then drop into a steep gulch with 5 PolBis in a grove. Collected with SD, JAG, Fortini. "
HaupuSummit(kipukai),none,POLBIS-KA-KIP-A-0002,1/17/2022,wild founder,21,21.92496,-159.40034,JKD_172,"Kipu Kai Waterhouse side of Haupu summit, third ridge to the east then drop into a steep gulch with 5 PolBis in a grove. Collected with SD, JAG, Fortini. "
HaupuSummit(kipukai),none,POLBIS-KA-KIP-A-0001,1/17/2022,wild founder,22,21.92493,-159.40047,JKD_171,"Kipu Kai Waterhouse side of Haupu summit, third ridge to the east then drop into a steep gulch with 5 PolBis. Collected with SD, JAG, Fortini. "
HaupuSummit(north.face),none,POLBIS-KA-HUL-E-0001,1/17/2022,wild founder,23,21.92645,-159.4032,JKD_176,"The largest PolBis of all, sprawling 50 ft., with multiple clattering stems, on the northern face of Haupu, along the western ridge, 100 ft downslope of ""selfie rock"". Fruit has never successfully been bagged from this tree, insect larvae eat every one. Attempted bagged in Nov. 2022, but all were eaten. Collected with MC, JAG. "
HaupuSummit(north.face),none,POLBIS-KA-HUL-E-0007,1/18/2022,wild founder,1,21.9265,-159.40308,JKD_177,"Also on the northern face of Haupu Summit, accessed from the western ridge under selfie rock. A smaller upright, 10ft tall tree with multiple trunks, traversing across the grassy basin easterly from HUL-E-0001. Right beneath a Pittosporum on the cliff. Collected with JAG, MC. "
LowerHaupu(kamaulele),none,POLBIS-KA-HUL-C-0003,2/3/2022,wild founder,9,21.92872,-159.42322,JKD_159,Hiked up the ridge from the mechanics shed in Rice ranch. PolBis is down a gulch on the north face of lower Haupu ridge. Large sprawiling individual with multiple stems. Metal tag with Natalia?s georef on a neaby alahe?e. Very weedy assciates.  JKD collected alone. 
LowerHaupu(kamaulele),none,POLBIS-KA-HUL-C-0004,2/3/2022,wild founder,4,21.92872,-159.42322,JKD_160,"Hiked up the ridge from the mechanics shed in Rice ranch. PolBis is down a gulch on the north face of lower Haupu ridge. This may be the same individual as HUL-C-0003, but it seems slightly too far away to be connected by roots. Difficult to determine under thick uluhe. JKD collected alone. "
